# timestamp x y z qx qy qz qw num_features num_matches num_inliers
1336387015.412081957 -3.24444 3.89711 0.2495 -0.0791038 -0.0342942 0.872218 -0.481459 466 123 115
1336387015.511319876 -3.2414 3.89842 0.252488 -0.0774641 -0.0319967 0.876009 -0.474957 506 137 126
1336387015.610556841 -3.23596 3.91017 0.252902 -0.0783593 -0.0321715 0.879866 -0.467613 510 127 117
1336387015.709792852 -3.2312 3.92252 0.253449 -0.0793495 -0.0327554 0.883599 -0.460308 489 139 130
1336387015.809030056 -3.22379 3.93062 0.253956 -0.08041 -0.0317955 0.887167 -0.453274 496 123 118
1336387015.908267021 -3.22372 3.94145 0.255096 -0.079903 -0.0326052 0.890916 -0.445893 507 142 132
1336387016.007503986 -3.21683 3.95514 0.255216 -0.0815909 -0.0332317 0.894648 -0.438 494 147 140
1336387016.106739998 -3.20975 3.96208 0.254942 -0.0825486 -0.0319762 0.898111 -0.430767 510 147 137
1336387016.205977917 -3.20407 3.97262 0.254379 -0.0834818 -0.0322373 0.901304 -0.423844 530 134 126
1336387016.305214882 -3.19742 3.97544 0.255157 -0.083517 -0.030192 0.904455 -0.417223 511 149 140
1336387016.404451847 -3.19199 3.99167 0.252848 -0.0852202 -0.0322383 0.907515 -0.410019 520 157 146
1336387016.503687859 -3.18606 3.9958 0.252529 -0.0852356 -0.0310143 0.910306 -0.403877 537 151 141
